date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:57	2050/2050	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NDQweDB4NzA=/xtempesta+diamond+u+textu.jpg.pagespeed.ic.c-Et-NF4Xm.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDQweDB4NzA=/xtempesta+diamond+u+textu.jpg.pagespeed.ic.c-Et-NF4Xm.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-tempesta-diamond)
16:47:58	35793/35793	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:54%20GMT	https://www.caretta-spa.cz/images/NDM4eDc2N3gw/xtempesta+fresh+u+textu,P281,P29.jpg.pagespeed.ic.t4HoSFyXFD.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDM4eDc2N3gw/xtempesta+fresh+u+textu,P281,P29.jpg.pagespeed.ic.t4HoSFyXFD.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-tempesta-fresh)
16:47:58	1812/1812	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NDM4eDB4NzA=/xtempesta+fresh+u+textu,P281,P29.jpg.pagespeed.ic.NABVUSDOyO.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDM4eDB4NzA=/xtempesta+fresh+u+textu,P281,P29.jpg.pagespeed.ic.NABVUSDOyO.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-tempesta-fresh)
16:47:59	14630500/14630500	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2006%20Nov%202021%2015:47:52%20GMT	https://www.caretta-spa.cz/files/88/infinite%20free%20standing.3ds	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/files/88/infinite%20free%20standing.3ds	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:59	14292764/14292764	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2006%20Nov%202021%2015:47:52%20GMT	https://www.caretta-spa.cz/files/89/Infinite%20In-ground.3ds	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/files/89/Infinite%20In-ground.3ds	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:48:00	168485/168485	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:55%20GMT	https://www.caretta-spa.cz/images/NTV4MTkyMHgw/xv,PC3,PAD,PC5,P99ivka-gemino+banner.jpg.pagespeed.ic.zjEjbeXFKt.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NTV4MTkyMHgw/xv,PC3,PAD,PC5,P99ivka-gemino+banner.jpg.pagespeed.ic.zjEjbeXFKt.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:00	27367/27367	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:56%20GMT	https://www.caretta-spa.cz/images/NDM3eDc2N3gw/xgemino+diamond+u+textu.jpg.pagespeed.ic.aUqBGtjrDj.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDM3eDc2N3gw/xgemino+diamond+u+textu.jpg.pagespeed.ic.aUqBGtjrDj.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:00	21885/21885	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:56%20GMT	https://www.caretta-spa.cz/images/NTZ4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-gemino1.jpg.pagespeed.ic.4XeLVaUR3e.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NTZ4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-gemino1.jpg.pagespeed.ic.4XeLVaUR3e.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:00	15008/15008	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NTd4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-gemino2.jpg.pagespeed.ic.lneQTNnkWD.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NTd4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-gemino2.jpg.pagespeed.ic.lneQTNnkWD.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:00	1761/1761	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NDM3eDB4NzA=/xgemino+diamond+u+textu.jpg.pagespeed.ic.mn846YCtMD.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDM3eDB4NzA=/xgemino+diamond+u+textu.jpg.pagespeed.ic.mn846YCtMD.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:01	1677/1677	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NTZ4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-gemino1.jpg.pagespeed.ic.ZGWaZODxPJ.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NTZ4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-gemino1.jpg.pagespeed.ic.ZGWaZODxPJ.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:01	1656/1656	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NTd4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-gemino2.jpg.pagespeed.ic.t-TscToxtv.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NTd4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-gemino2.jpg.pagespeed.ic.t-TscToxtv.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:01	1022008/1022008	---MC-	200	added ('OK')	application/pdf	date:Sat,%2006%20Nov%202021%2015:47:57%20GMT	https://www.caretta-spa.cz/files/285/SP%20Gemino.pdf	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/files/285/SP%20Gemino.pdf	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-diamond)
16:48:03	27392/27392	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:59%20GMT	https://www.caretta-spa.cz/images/NDY2eDc2N3gw/xgemino+premium+u+textu.jpg.pagespeed.ic.dPzCSO4_KD.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDY2eDc2N3gw/xgemino+premium+u+textu.jpg.pagespeed.ic.dPzCSO4_KD.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-premium)
16:48:03	1761/1761	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NDY2eDB4NzA=/xgemino+premium+u+textu.jpg.pagespeed.ic.f3yUjfQq6o.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDY2eDB4NzA=/xgemino+premium+u+textu.jpg.pagespeed.ic.f3yUjfQq6o.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-premium)
16:48:04	25375/25375	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NDM1eDc2N3gw/xgemino+fresh+u+textu.jpg.pagespeed.ic.FIMfciZ4A4.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDM1eDc2N3gw/xgemino+fresh+u+textu.jpg.pagespeed.ic.FIMfciZ4A4.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-gemino-fresh)
